
> jiaowu-frontend@1.0.0 dev
> vite

[33mThe CJS build of Vite's Node API is deprecated. See https://vite.dev/guide/troubleshooting.html#vite-cjs-node-api-deprecated for more details.[39m

  VITE v5.4.21  ready in 703 ms

  ➜  Local:   http://localhost:3000/
  ➜  Network: http://172.25.100.251:3000/
3:48:55 PM [vite] hmr update /src/pages/Courses.jsx, /src/pages/Payments.jsx, /src/pages/StudentCourses.jsx, /src/pages/AllCourses.jsx, /src/components/CoursesLayout.jsx, /src/components/Layout.jsx
3:48:56 PM [vite] hmr update /src/pages/StudentCourses.jsx
3:48:58 PM [vite] hmr update /src/pages/StudentCourses.jsx
3:48:59 PM [vite] hmr update /src/pages/StudentCourses.jsx
3:51:45 PM [vite] hmr update /src/pages/Courses.jsx, /src/pages/Payments.jsx, /src/pages/StudentCourses.jsx, /src/pages/AllCourses.jsx, /src/components/CoursesLayout.jsx, /src/components/Layout.jsx
3:51:45 PM [vite] hmr update /src/pages/StudentCourses.jsx
4:06:43 PM [vite] hmr update /src/pages/AllCourses.jsx
4:06:43 PM [vite] hmr update /src/pages/AllCourses.jsx
4:06:44 PM [vite] hmr update /src/pages/AllCourses.jsx
4:11:48 PM [vite] hmr update /src/pages/AllCourses.jsx
4:11:49 PM [vite] hmr update /src/pages/AllCourses.jsx
4:11:50 PM [vite] hmr update /src/pages/AllCourses.jsx
4:11:51 PM [vite] hmr update /src/pages/AllCourses.jsx
4:11:53 PM [vite] hmr update /src/pages/AllCourses.jsx
4:12:15 PM [vite] hmr update /src/pages/AllCourses.jsx
4:12:16 PM [vite] hmr update /src/pages/AllCourses.jsx
4:12:16 PM [vite] hmr update /src/pages/AllCourses.jsx
4:12:17 PM [vite] hmr update /src/pages/AllCourses.jsx
4:12:41 PM [vite] hmr update /src/pages/AllCourses.jsx
4:18:56 PM [vite] hmr update /src/pages/Calendar.css
4:18:56 PM [vite] hmr update /src/components/Modal.css
4:20:10 PM [vite] hmr update /src/pages/CoursesManage.jsx
4:20:11 PM [vite] hmr update /src/pages/CoursesManage.jsx
4:20:13 PM [vite] hmr update /src/pages/CoursesManage.jsx
4:20:15 PM [vite] hmr update /src/pages/CoursesManage.jsx
4:20:16 PM [vite] hmr update /src/pages/CoursesManage.jsx
4:20:20 PM [vite] hmr update /src/pages/CoursesManage.css
4:24:39 PM [vite] hmr update /src/pages/CoursesManage.jsx
4:24:41 PM [vite] hmr update /src/pages/CoursesManage.jsx
4:24:42 PM [vite] hmr update /src/pages/CoursesManage.jsx
4:24:51 PM [vite] hmr update /src/pages/CoursesManage.jsx
4:25:02 PM [vite] hmr update /src/pages/CoursesManage.jsx
4:25:08 PM [vite] hmr update /src/pages/CoursesManage.jsx
4:25:08 PM [vite] hmr update /src/pages/CoursesManage.css
4:25:15 PM [vite] hmr update /src/pages/CoursesManage.css
4:30:32 PM [vite] hmr update /src/pages/CoursesManage.jsx
4:30:33 PM [vite] hmr update /src/pages/CoursesManage.jsx
4:30:34 PM [vite] hmr update /src/pages/CoursesManage.jsx
4:30:35 PM [vite] hmr update /src/pages/CoursesManage.jsx
4:30:36 PM [vite] hmr update /src/pages/CoursesManage.jsx
4:30:37 PM [vite] hmr update /src/pages/CoursesManage.jsx
4:30:41 PM [vite] hmr update /src/pages/CoursesManage.css
4:31:09 PM [vite] hmr update /src/pages/CoursesManage.jsx
4:31:09 PM [vite] hmr update /src/pages/CoursesManage.css
4:34:23 PM [vite] hmr update /src/pages/CoursesManage.jsx
4:34:24 PM [vite] hmr update /src/pages/CoursesManage.jsx
4:34:27 PM [vite] hmr update /src/pages/CoursesManage.jsx
4:34:47 PM [vite] hmr update /src/pages/CoursesManage.jsx
4:34:49 PM [vite] hmr update /src/pages/CoursesManage.jsx
4:40:10 PM [vite] hmr update /src/pages/CoursesManage.css
4:41:51 PM [vite] hmr update /src/pages/CoursesManage.jsx
4:41:52 PM [vite] hmr update /src/pages/CoursesManage.jsx
4:41:53 PM [vite] hmr update /src/pages/CoursesManage.jsx
4:41:55 PM [vite] hmr update /src/pages/CoursesManage.jsx
4:47:08 PM [vite] hmr update /src/pages/CoursesManage.jsx
4:47:09 PM [vite] hmr update /src/pages/CoursesManage.jsx
4:47:10 PM [vite] hmr update /src/pages/CoursesManage.jsx
4:47:13 PM [vite] hmr update /src/pages/CoursesManage.jsx
4:47:13 PM [vite] hmr update /src/pages/CoursesManage.jsx
4:47:34 PM [vite] hmr update /src/pages/CoursesManage.jsx
4:55:16 PM [vite] hmr update /src/pages/Permissions.jsx
4:55:16 PM [vite] hmr update /src/pages/Permissions.jsx
4:55:19 PM [vite] hmr update /src/pages/Permissions.jsx
4:55:20 PM [vite] hmr update /src/pages/Permissions.jsx
4:55:22 PM [vite] hmr update /src/pages/Permissions.jsx
4:55:23 PM [vite] hmr update /src/pages/Permissions.jsx
4:55:39 PM [vite] hmr update /src/pages/Permissions.jsx
4:55:41 PM [vite] hmr update /src/pages/Permissions.jsx
4:55:42 PM [vite] hmr update /src/pages/Permissions.jsx
4:55:43 PM [vite] hmr update /src/pages/Permissions.jsx
4:56:10 PM [vite] hmr update /src/pages/Permissions.css
